row	column	plant	year	irrigation	rootstock	leaf	block	Na	Mg	Al	P	S	K	Ca	Mn	Fe	Co	Ni	Cu	Zn	Rb	Sr	Mo	Cd
11	A	2	2014	half	3309C	Y	B2	26.07287877	2068.040824	20.88304191	1471.062156	2801.087324	6725.480888	12579.54016	27.76903392	66.96480028	0.058900592	0.418124894	5.683746624	43.14066431	3.495160105	15.31629186	0.262289762	0.025586797
11	A	2	2014	half	3309C	Z	B2	25.23748604	1786.13119	29.33701105	925.6838162	2697.627753	6615.630218	17721.63892	62.21387261	77.17010325	0.103913071	0.655870398	4.809952635	37.0163773	3.235658332	29.13817347	0.292963338	0.031975883
11	A	3	2014	half	3309C	X	B2	139.7076305	2376.631391	NA	4479.515017	3121.87794	12713.62704	8801.995922	28.20045509	71.42239276	0.061418372	0.777651776	NA	46.72029551	NA	9.674931723	0.195523585	NA
11	A	3	2014	half	3309C	Y	B2	54.35620879	1734.261727	NA	648.7327784	3252.067948	9786.628133	12606.53901	56.46083868	NA	0.160436122	NA	NA	140.2238568	5.786410599	18.44994377	0.370982395	NA
11	A	3	2014	half	3309C	Z	B2	24.34285349	2054.666325	NA	1109.607762	2772.256823	7999.724624	20120.70277	113.5210542	163.967928	0.137523012	1.212454318	NA	61.32939666	4.209041303	29.16239253	0.320309545	0.056901603
11	A	4	2014	half	3309C	X	B2	206.6426773	1710.744714	14.93387895	7977.111436	3444.908588	14245.33282	6969.669276	24.68863359	58.74944599	0.137534625	0.660331673	13.83193982	52.42218716	20.50230991	6.395369637	0.23791037	0.028633014
11	A	4	2014	half	3309C	Y	B2	30.20805564	2065.491368	17.11994504	1737.605003	3044.368262	9844.329677	11696.35848	34.07719543	112.4565809	0.091143902	0.573022374	5.525462532	76.64242131	4.32450226	16.48526159	0.260800281	0.025530064
11	A	4	2014	half	3309C	Z	B2	14.0853471	1657.888098	18.26501999	696.3081114	3285.635238	7763.622802	16802.5434	79.4513271	73.04429793	0.083455139	0.518822177	5.077487548	96.59035197	3.618631384	20.86928322	0.238936866	0.027954158
11	B	1	2014	half	1103P	X	B2	149.2291252	1495.97788	NA	4946.578098	3046.85891	12235.88356	7021.74265	33.6056069	146.4598166	0.153321956	1.348847826	NA	67.98649545	17.21431309	11.41677815	0.356803049	0.085043837
11	B	1	2014	half	1103P	Y	B2	122.0394887	2224.918895	NA	1843.932723	2807.961306	10867.82123	10371.75648	40.20494759	132.5950726	0.166208994	1.03019853	NA	108.126455	8.196677145	20.74507062	0.410263972	0.051727153
11	B	1	2014	half	1103P	Z	B2	46.87464746	2085.262669	NA	686.6098718	2460.878782	3906.67753	13467.56426	75.40613363	163.3859861	0.12473557	2.029462458	NA	60.4855622	2.363822279	23.18275165	0.293489701	0.06548374
11	B	2	2014	half	1103P	X	B2	245.0504877	1430.84546	14.9347509	6613.31463	3582.311384	10113.21724	7463.348171	24.46078574	79.19757351	0.130376559	0.528681764	21.64646957	41.91349781	17.04884553	8.381515209	0.364907005	0.037155608
11	B	2	2014	half	1103P	Y	B2	26.45843211	3082.509675	21.53379727	1829.928858	2812.384643	5939.914768	13010.52621	45.59030038	73.1957731	0.183665203	0.828266592	7.498305355	129.0410705	4.200487001	21.57728619	0.252267479	0.059480024
11	B	2	2014	half	1103P	Z	B2	38.66045187	2605.834148	23.20564788	1361.562251	2518.377962	3808.248721	20348.5736	65.50676658	83.77094351	0.181999551	0.656437935	8.612200815	27.55871143	2.46140575	35.219323	0.238583666	0.056768449
11	B	3	2014	half	1103P	Y	B2	29.74812506	2706.801007	NA	893.5462937	2399.307846	6726.947447	14018.40897	71.27848404	132.2808059	0.271861154	1.657290307	NA	138.1400847	4.165554806	27.66827311	0.286610652	0.132459771
11	B	4	2014	half	1103P	X	B2	NA	2306.812157	18.8199816	6316.667789	3331.724728	12537.57121	7248.191395	52.59338446	78.65313311	0.284023626	0.780270744	16.71005689	46.0332739	NA	8.250929381	0.22116843	0.058755678
11	B	4	2014	half	1103P	Y	B2	23.34763839	2537.544144	16.01177144	1262.800839	2626.146453	9477.652756	7796.037412	68.52890072	64.27372386	0.258768655	0.742171683	7.286114172	33.70199431	6.402816968	10.73867394	0.235346551	0.037913749
11	B	4	2014	half	1103P	Z	B2	23.07660365	2595.488955	15.70578001	749.8182349	2823.107642	9305.857964	9604.756189	66.85918774	68.05957345	0.256665848	0.517049106	6.809852084	73.68091422	5.453413972	11.79744281	0.257350033	0.042567296
11	C	1	2014	half	OWN	X	B2	141.7090191	1192.748657	NA	3818.360656	2792.88158	10335.49099	9085.939445	33.90594109	89.13537643	0.075498163	0.5686858	36.1769169	48.90170108	16.94868669	11.95656625	0.305081348	NA
11	C	1	2014	half	OWN	Y	B2	42.98070359	2474.534159	NA	1763.892803	2016.939567	14218.78581	7603.748431	54.41675232	47.96119359	0.100651942	0.418439026	10.67752041	52.05825427	6.780312642	18.46545534	0.270681983	NA
11	C	1	2014	half	OWN	Z	B2	30.0700085	2378.194541	NA	854.1759183	3534.96431	5293.046037	20746.3707	168.5909319	138.4494482	0.100717747	0.732939379	47.62571241	78.4198445	2.87023279	35.35192644	0.286933772	0.068834683
11	C	2	2014	half	OWN	X	B2	148.1936238	2014.210435	NA	5569.203818	3142.299879	13593.17829	10026.98459	52.36983387	111.7071431	0.043503045	0.521078709	NA	93.03442734	NA	15.10308061	0.18582224	NA
11	C	2	2014	half	OWN	Y	B2	25.73873421	2270.470282	NA	1052.395076	2704.953425	7351.932115	12781.38536	116.4541769	84.05454205	0.066547189	0.648236661	NA	64.71454152	3.470129257	22.33792559	0.217613484	0.052848613
11	C	2	2014	half	OWN	Z	B2	88.06187224	2305.148495	NA	794.6945846	2507.25905	6319.670634	13312.50836	217.914938	119.4603007	0.078654576	0.622847228	43.05199261	83.94785453	3.710326177	23.38946607	0.266447514	0.080923051
11	C	3	2014	half	OWN	X	B2	107.5129872	2029.577765	NA	5982.502409	3183.133467	13298.16313	8130.865868	47.10771182	114.1614551	0.096011557	0.822701237	38.84486915	57.97908667	NA	12.14839996	0.227918302	0.043667366
11	C	3	2014	half	OWN	Y	B2	109.0081042	3305.861532	NA	921.0399972	3038.682425	6955.871571	14899.01215	113.1145775	118.2844247	0.092019423	0.894570339	44.70726976	138.1849801	3.976796722	32.35990419	0.257012948	0.053554461
